seed,model_name,class_name,precision,recall,f1_score,support
5,logistic_regression,SEKER,0.9296116504854369,0.9433497536945813,0.9364303178484108,406.0
5,logistic_regression,SIRA,0.858195211786372,0.8842504743833017,0.8710280373831776,527.0
5,mlp,BARBUNYA,0.9263565891472868,0.9018867924528302,0.9139579349904398,265.0
5,mlp,BOMBAY,1.0,1.0,1.0,104.0
5,mlp,CALI,0.9274924471299094,0.941717791411043,0.9345509893455098,326.0
5,mlp,DERMASON,0.9178272980501393,0.9294781382228491,0.9236159775753329,709.0
5,mlp,HOROZ,0.9595687331536388,0.956989247311828,0.9582772543741588,372.0
5,mlp,SEKER,0.9481481481481482,0.9458128078817734,0.9469790382244143,406.0
5,mlp,SIRA,0.8793103448275862,0.8709677419354839,0.8751191611058151,527.0
5,random_forest,BARBUNYA,0.9260700389105059,0.8981132075471698,0.9118773946360154,265.0
5,random_forest,BOMBAY,1.0,1.0,1.0,104.0
5,random_forest,CALI,0.9244712990936556,0.9386503067484663,0.9315068493150684,326.0
5,random_forest,DERMASON,0.9106145251396648,0.919605077574048,0.9150877192982456,709.0
5,random_forest,HOROZ,0.9615384615384616,0.9408602150537635,0.9510869565217391,372.0
5,random_forest,SEKER,0.9328537170263789,0.958128078817734,0.945321992709599,406.0
5,random_forest,SIRA,0.8653846153846154,0.8538899430740038,0.8595988538681948,527.0
6,decision_tree,BARBUNYA,0.8913857677902621,0.8981132075471698,0.8947368421052632,265.0
6,decision_tree,BOMBAY,1.0,1.0,1.0,104.0
6,decision_tree,CALI,0.9003021148036254,0.9141104294478528,0.9071537290715372,326.0
6,decision_tree,DERMASON,0.885952712100139,0.8984485190409027,0.8921568627450981,709.0
6,decision_tree,HOROZ,0.9504132231404959,0.9274193548387096,0.9387755102040817,372.0
6,decision_tree,SEKER,0.9066985645933014,0.9334975369458128,0.9199029126213593,406.0
6,decision_tree,SIRA,0.8382642998027613,0.8064516129032258,0.8220502901353965,527.0
6,logistic_regression,BARBUNYA,0.9254901960784314,0.8905660377358491,0.9076923076923077,265.0
6,logistic_regression,BOMBAY,1.0,1.0,1.0,104.0
6,logistic_regression,CALI,0.9109792284866469,0.941717791411043,0.9260935143288085,326.0
6,logistic_regression,DERMASON,0.9265129682997119,0.9069111424541608,0.9166072701354241,709.0
6,logistic_regression,HOROZ,0.9642857142857143,0.9435483870967742,0.9538043478260869,372.0
6,logistic_regression,SEKER,0.9296116504854369,0.9433497536945813,0.9364303178484108,406.0
6,logistic_regression,SIRA,0.858195211786372,0.8842504743833017,0.8710280373831776,527.0
6,mlp,BARBUNYA,0.9195402298850575,0.9056603773584906,0.9125475285171103,265.0
6,mlp,BOMBAY,1.0,0.9903846153846154,0.9951690821256038,104.0
6,mlp,CALI,0.9216867469879518,0.9386503067484663,0.9300911854103343,326.0
6,mlp,DERMASON,0.8927613941018767,0.9393511988716502,0.9154639175257732,709.0
6,mlp,HOROZ,0.967391304347826,0.956989247311828,0.9621621621621622,372.0
6,mlp,SEKER,0.9397590361445783,0.9605911330049262,0.9500609013398295,406.0
6,mlp,SIRA,0.8987603305785123,0.825426944971537,0.8605341246290801,527.0
6,random_forest,BARBUNYA,0.9296875,0.8981132075471698,0.9136276391554703,265.0
6,random_forest,BOMBAY,1.0,1.0,1.0,104.0
6,random_forest,CALI,0.9219219219219219,0.941717791411043,0.9317147192716236,326.0
6,random_forest,DERMASON,0.9068150208623088,0.919605077574048,0.9131652661064426,709.0
6,random_forest,HOROZ,0.9641873278236914,0.9408602150537635,0.9523809523809523,372.0
6,random_forest,SEKER,0.9349397590361446,0.9556650246305419,0.9451887941534713,406.0
6,random_forest,SIRA,0.8631984585741811,0.8500948766603416,0.8565965583173997,527.0
7,decision_tree,BARBUNYA,0.8810408921933085,0.8943396226415095,0.8876404494382022,265.0
7,decision_tree,BOMBAY,1.0,1.0,1.0,104.0
7,decision_tree,CALI,0.8978978978978979,0.9171779141104295,0.9074355083459787,326.0
7,decision_tree,DERMASON,0.8912429378531074,0.8899858956276445,0.8906139731827806,709.0
7,decision_tree,HOROZ,0.9558011049723757,0.9301075268817204,0.9427792915531336,372.0
7,decision_tree,SEKER,0.9110576923076923,0.9334975369458128,0.9221411192214112,406.0
7,decision_tree,SIRA,0.8297872340425532,0.8140417457305503,0.8218390804597702,527.0
7,logistic_regression,BARBUNYA,0.9254901960784314,0.8905660377358491,0.9076923076923077,265.0
7,logistic_regression,BOMBAY,1.0,1.0,1.0,104.0
7,logistic_regression,CALI,0.9109792284866469,0.941717791411043,0.9260935143288085,326.0
7,logistic_regression,DERMASON,0.9265129682997119,0.9069111424541608,0.9166072701354241,709.0
7,logistic_regression,HOROZ,0.9642857142857143,0.9435483870967742,0.9538043478260869,372.0
7,logistic_regression,SEKER,0.9296116504854369,0.9433497536945813,0.9364303178484108,406.0
7,logistic_regression,SIRA,0.858195211786372,0.8842504743833017,0.8710280373831776,527.0
7,mlp,BARBUNYA,0.9029850746268657,0.9132075471698113,0.9080675422138836,265.0
7,mlp,BOMBAY,1.0,1.0,1.0,104.0
7,mlp,CALI,0.934984520123839,0.9263803680981595,0.9306625577812019,326.0
7,mlp,DERMASON,0.9303977272727273,0.923836389280677,0.9271054493984431,709.0
7,mlp,HOROZ,0.9644808743169399,0.9489247311827957,0.9566395663956639,372.0
7,mlp,SEKER,0.941747572815534,0.9556650246305419,0.9486552567237164,406.0
7,mlp,SIRA,0.8778195488721805,0.8861480075901328,0.8819641170915958,527.0
7,random_forest,BARBUNYA,0.9192307692307692,0.9018867924528302,0.9104761904761904,265.0
7,random_forest,BOMBAY,1.0,1.0,1.0,104.0
7,random_forest,CALI,0.9294478527607362,0.9294478527607362,0.9294478527607362,326.0
7,random_forest,DERMASON,0.9068150208623088,0.919605077574048,0.9131652661064426,709.0
7,random_forest,HOROZ,0.9616438356164384,0.9435483870967742,0.9525101763907734,372.0
7,random_forest,SEKER,0.9349397590361446,0.9556650246305419,0.9451887941534713,406.0
7,random_forest,SIRA,0.8615384615384616,0.8500948766603416,0.8557784145176696,527.0
8,decision_tree,BARBUNYA,0.8947368421052632,0.8981132075471698,0.896421845574388,265.0
8,decision_tree,BOMBAY,1.0,1.0,1.0,104.0
8,decision_tree,CALI,0.9066265060240963,0.9233128834355828,0.9148936170212766,326.0
8,decision_tree,DERMASON,0.8881118881118881,0.8956276445698167,0.8918539325842697,709.0
8,decision_tree,HOROZ,0.9532967032967034,0.9327956989247311,0.9429347826086957,372.0
8,decision_tree,SEKER,0.9088729016786571,0.9334975369458128,0.9210206561360875,406.0
8,decision_tree,SIRA,0.8414872798434442,0.8159392789373814,0.8285163776493256,527.0
8,logistic_regression,BARBUNYA,0.9254901960784314,0.8905660377358491,0.9076923076923077,265.0
8,logistic_regression,BOMBAY,1.0,1.0,1.0,104.0
8,logistic_regression,CALI,0.9109792284866469,0.941717791411043,0.9260935143288085,326.0
8,logistic_regression,DERMASON,0.9265129682997119,0.9069111424541608,0.9166072701354241,709.0
8,logistic_regression,HOROZ,0.9642857142857143,0.9435483870967742,0.9538043478260869,372.0
8,logistic_regression,SEKER,0.9296116504854369,0.9433497536945813,0.9364303178484108,406.0
8,logistic_regression,SIRA,0.858195211786372,0.8842504743833017,0.8710280373831776,527.0
8,mlp,BARBUNYA,0.9182879377431906,0.8905660377358491,0.9042145593869731,265.0
8,mlp,BOMBAY,1.0,1.0,1.0,104.0
8,mlp,CALI,0.9357798165137615,0.9386503067484663,0.9372128637059725,326.0
8,mlp,DERMASON,0.9336283185840708,0.8928067700987306,0.912761355443403,709.0
8,mlp,HOROZ,0.9491978609625669,0.9543010752688172,0.9517426273458445,372.0
8,mlp,SEKER,0.9339853300733496,0.9408866995073891,0.9374233128834356,406.0
8,mlp,SIRA,0.8339285714285715,0.8861480075901328,0.859245630174793,527.0
8,random_forest,BARBUNYA,0.9221789883268483,0.8943396226415095,0.9080459770114943,265.0
8,random_forest,BOMBAY,1.0,1.0,1.0,104.0
8,random_forest,CALI,0.9214501510574018,0.9355828220858896,0.928462709284627,326.0
8,random_forest,DERMASON,0.9085872576177285,0.92524682651622,0.9168413696715584,709.0
8,random_forest,HOROZ,0.9642857142857143,0.9435483870967742,0.9538043478260869,372.0
8,random_forest,SEKER,0.9326923076923077,0.9556650246305419,0.9440389294403893,406.0
8,random_forest,SIRA,0.8718446601941747,0.8519924098671727,0.8618042226487524,527.0
9,decision_tree,BARBUNYA,0.8977272727272727,0.8943396226415095,0.8960302457466919,265.0
9,decision_tree,BOMBAY,1.0,1.0,1.0,104.0
9,decision_tree,CALI,0.9009009009009009,0.9202453987730062,0.9104704097116844,326.0
9,decision_tree,DERMASON,0.8966480446927374,0.9055007052186178,0.9010526315789473,709.0
9,decision_tree,HOROZ,0.9478021978021978,0.9274193548387096,0.9375,372.0
9,decision_tree,SEKER,0.9093078758949881,0.9384236453201971,0.9236363636363636,406.0
9,decision_tree,SIRA,0.8428290766208252,0.8140417457305503,0.8281853281853282,527.0
9,logistic_regression,BARBUNYA,0.9254901960784314,0.8905660377358491,0.9076923076923077,265.0
9,logistic_regression,BOMBAY,1.0,1.0,1.0,104.0
9,logistic_regression,CALI,0.9109792284866469,0.941717791411043,0.9260935143288085,326.0
9,logistic_regression,DERMASON,0.9265129682997119,0.9069111424541608,0.9166072701354241,709.0
9,logistic_regression,HOROZ,0.9642857142857143,0.9435483870967742,0.9538043478260869,372.0
9,logistic_regression,SEKER,0.9296116504854369,0.9433497536945813,0.9364303178484108,406.0
9,logistic_regression,SIRA,0.858195211786372,0.8842504743833017,0.8710280373831776,527.0
9,mlp,BARBUNYA,0.9254901960784314,0.8905660377358491,0.9076923076923077,265.0
9,mlp,BOMBAY,1.0,0.9903846153846154,0.9951690821256038,104.0
9,mlp,CALI,0.9219219219219219,0.941717791411043,0.9317147192716236,326.0
9,mlp,DERMASON,0.9295977011494253,0.9125528913963329,0.9209964412811388,709.0
9,mlp,HOROZ,0.962059620596206,0.9543010752688172,0.9581646423751687,372.0
9,mlp,SEKER,0.9434889434889435,0.9458128078817734,0.9446494464944649,406.0
9,mlp,SIRA,0.8589743589743589,0.889943074003795,0.8741845293569431,527.0
9,random_forest,BARBUNYA,0.921875,0.8905660377358491,0.9059500959692899,265.0
9,random_forest,BOMBAY,1.0,1.0,1.0,104.0
9,random_forest,CALI,0.9186746987951807,0.9355828220858896,0.9270516717325228,326.0
9,random_forest,DERMASON,0.9058171745152355,0.922425952045134,0.9140461215932913,709.0
9,random_forest,HOROZ,0.9669421487603306,0.9435483870967742,0.9551020408163265,372.0
9,random_forest,SEKER,0.9350961538461539,0.958128078817734,0.9464720194647201,406.0
9,random_forest,SIRA,0.8701550387596899,0.8519924098671727,0.8609779482262704,527.0
10,decision_tree,BARBUNYA,0.8955223880597015,0.9056603773584906,0.900562851782364,265.0
10,decision_tree,BOMBAY,1.0,1.0,1.0,104.0
10,decision_tree,CALI,0.9036144578313253,0.9202453987730062,0.9118541033434651,326.0
10,decision_tree,DERMASON,0.8791666666666667,0.8928067700987306,0.8859342197340798,709.0
10,decision_tree,HOROZ,0.9610027855153204,0.9274193548387096,0.9439124487004104,372.0
10,decision_tree,SEKER,0.9086538461538461,0.9310344827586207,0.9197080291970803,406.0
10,decision_tree,SIRA,0.8313725490196079,0.8045540796963947,0.8177434908389586,527.0
10,logistic_regression,BARBUNYA,0.9254901960784314,0.8905660377358491,0.9076923076923077,265.0
10,logistic_regression,BOMBAY,1.0,1.0,1.0,104.0
10,logistic_regression,CALI,0.9109792284866469,0.941717791411043,0.9260935143288085,326.0
10,logistic_regression,DERMASON,0.9265129682997119,0.9069111424541608,0.9166072701354241,709.0
10,logistic_regression,HOROZ,0.9642857142857143,0.9435483870967742,0.9538043478260869,372.0
10,logistic_regression,SEKER,0.9296116504854369,0.9433497536945813,0.9364303178484108,406.0
10,logistic_regression,SIRA,0.858195211786372,0.8842504743833017,0.8710280373831776,527.0
10,mlp,BARBUNYA,0.9254901960784314,0.8905660377358491,0.9076923076923077,265.0
10,mlp,BOMBAY,1.0,0.9903846153846154,0.9951690821256038,104.0
10,mlp,CALI,0.9144542772861357,0.950920245398773,0.9323308270676691,326.0
10,mlp,DERMASON,0.9174825174825175,0.92524682651622,0.9213483146067416,709.0
10,mlp,HOROZ,0.9646739130434783,0.9543010752688172,0.9594594594594594,372.0
10,mlp,SEKER,0.9326923076923077,0.9556650246305419,0.9440389294403893,406.0
10,mlp,SIRA,0.8908382066276803,0.8671726755218216,0.8788461538461538,527.0
10,random_forest,BARBUNYA,0.9299610894941635,0.9018867924528302,0.9157088122605364,265.0
10,random_forest,BOMBAY,1.0,1.0,1.0,104.0
10,random_forest,CALI,0.9244712990936556,0.9386503067484663,0.9315068493150684,326.0
10,random_forest,DERMASON,0.9079497907949791,0.918194640338505,0.9130434782608695,709.0
10,random_forest,HOROZ,0.9643835616438357,0.946236559139785,0.9552238805970149,372.0
10,random_forest,SEKER,0.9326923076923077,0.9556650246305419,0.9440389294403893,406.0
10,random_forest,SIRA,0.8670520231213873,0.8538899430740038,0.8604206500956023,527.0
